id,name,price
1,Bia Budweiser,17000
2,Bia Heineken,20000
3,Bia Tiger,17000
4,Bia Tiger Bạc,17000
5,Món Chưa Xác Định,27000
6,Cá mú mắm me,60000
7,Khô cá thiều,60000
8,Da cá trứng muối,60000
9,Tóp mỡ mắm tỏi,60000
10,Ba rọi mắm tỏi,80000
11,Khô bò mềm xé sợi,80000
12,Da heo quay,60000
13,Mực tẩm vị,60000
14,Bánh bột lọc,60000
15,Cá trích ép trứng,120000
16,Sú luộc trứng gà,120000
17,Đậu bắp luộc,60000
18,Chả mực,120000
19,Khổ qua - Chà bông,60000
20,Đậu khuôn - đậu bắp,60000
21,Trứng bắc thảo - Gạch ghẹ,80000
22,Chả ông Linh,80000
23,Chả cá Nha Trang,60000
24,Chả ram Bình Định,60000
25,Khoai tây chiên,60000
26,Khô nai,60000
27,Salad trứng tầm,60000
28,Tré,60000
